clientName;table;numUserClient;name;avg;numUsers;sumScores;proportion_zeros_zone;zone;value_ant;proportion_zeros_1;value_1;value_2;value_3;value_4;value_5;value_6;value_7;value_8;value_9;value_10
AMC Networks;amcnclub_profiles_min;112597;Alimentación;5,87;100221;588152;0,11;3;5,15;0,11;6,88;6,86;6,85;6,83;6,81;6,8;6,78;6,77;6,75;6,74
AMC Networks;amcnclub_profiles_min;112597;Alimentación - Aceites;5,1;21966;112135,2;0,74;3;3,97;0,78;5,48;4,98;4,59;4,28;4,02;3,8;3,62;3,47;3,33;3,22
AMC Networks;amcnclub_profiles_min;112597;Alimentación - Alimentación Ecológica;7,12;17935;127675,8;0,8;3;4,42;0,82;7,46;6,89;6,43;6,04;5,7;5,41;5,16;4,94;4,74;4,56
AMC Networks;amcnclub_profiles_min;112597;Alimentación - Alimentación Infantil;6,18;13782;85130,5;0,86;3;5;0,86;5,18;5,19;5,2;5,2;5,21;5,21;5,22;5,23;5,23;5,24
AMC Networks;amcnclub_profiles_min;112597;Alimentación - Aperitivos y Frutos Secos;5,67;23960;135849,1;0,7;3;3,94;0,76;5,73;5,03;4,54;4,16;3,87;3,63;3,44;3,28;3,14;3,02
AMC Networks;amcnclub_profiles_min;112597;Alimentación - Cafés e infusiones;6,28;47496;298098,2;0,55;3;5,21;0,53;5,47;5,62;5,75;5,88;5,99;6,1;6,2;6,29;6,38;6,46
AMC Networks;amcnclub_profiles_min;112597;Alimentación - Caramelos y Golosinas;6,19;23601;145976,8;0,74;3;4,58;0,76;6,76;6,37;6,03;5,74;5,48;5,25;5,05;4,86;4,7;4,55
AMC Networks;amcnclub_profiles_min;112597;Alimentación - Cárnicos y Embutidos;6,12;27280;166890,9;0,71;3;4,28;0,73;6,74;6,39;6,08;5,81;5,57;5,35;5,15;4,98;4,82;4,67
AMC Networks;amcnclub_profiles_min;112597;Alimentación - Chocolates y Productos de Cacao;5,68;37250;211745,3;0,62;3;4,62;0,63;6,55;6,4;6,26;6,13;6,01;5,89;5,78;5,67;5,57;5,48
AMC Networks;amcnclub_profiles_min;112597;Alimentación - Cocina y Recetas;6,35;81705;519142,2;0,28;3;6,2;0,18;6,1;6,41;6,68;6,89;7,08;7,24;7,38;7,5;7,61;7,7
AMC Networks;amcnclub_profiles_min;112597;Alimentación - Conservas y Platos Precocinados;5,31;25621;136020,5;0,69;3;3,9;0,74;5,55;4,96;4,52;4,18;3,91;3,68;3,5;3,34;3,21;3,09
AMC Networks;amcnclub_profiles_min;112597;Alimentación - Dietéticos y Adelgazantes;6,82;8079;55071,1;0,9;3;4,36;0,92;6,82;6,09;5,53;5,09;4,73;4,44;4,19;3,99;3,81;3,65
AMC Networks;amcnclub_profiles_min;112597;Alimentación - Cereales y Galletas;5,92;17922;106115,1;0,79;3;4,13;0,82;6,2;5,62;5,17;4,8;4,5;4,25;4,04;3,86;3,7;3,56
AMC Networks;amcnclub_profiles_min;112597;Alimentación - Helados;7,13;16303;116306,8;0,84;3;5,43;0,84;6,21;6,28;6,34;6,4;6,46;6,51;6,57;6,62;6,67;6,71
AMC Networks;amcnclub_profiles_min;112597;Alimentación - Lácteos y Quesos;5,6;22890;128275;0,72;3;3,91;0,77;5,68;5;4,52;4,15;3,86;3,62;3,43;3,27;3,14;3,02
AMC Networks;amcnclub_profiles_min;112597;Alimentación - Panadería y Dulces;6,29;49318;310033,1;0,54;3;5,17;0,51;5,54;5,71;5,87;6,02;6,15;6,28;6,39;6,49;6,59;6,68
AMC Networks;amcnclub_profiles_min;112597;Alimentación - Productos de Gourmet;7,18;11672;83810,7;0,87;3;4,37;0,88;7,3;6,62;6,07;5,63;5,27;4,96;4,7;4,48;4,28;4,11
AMC Networks;amcnclub_profiles_min;112597;Alimentación - Productos Frescos;5,94;17749;105431,7;0,79;3;4,16;0,82;6,01;5,33;4,82;4,43;4,12;3,87;3,67;3,49;3,34;3,21
AMC Networks;amcnclub_profiles_min;112597;Alimentación - Sopas y Deshidratados;5,75;5414;31134,6;0,93;3;3,83;0,95;5,48;4,69;4,16;3,77;3,48;3,26;3,08;2,93;2,8;2,7
AMC Networks;amcnclub_profiles_min;112597;Alimentación - Supermercados;5,12;48393;247766;0,54;3;5,09;0,52;4,43;4,66;4,86;5,05;5,23;5,39;5,53;5,67;5,79;5,91
AMC Networks;amcnclub_profiles_min;112597;Alimentación - Yogures y Postres Frescos;5,61;16196;90926,9;0,82;3;4,31;0,84;6,18;5,81;5,49;5,21;4,97;4,75;4,56;4,39;4,24;4,11
AMC Networks;amcnclub_profiles_min;112597;Alimentación - Gastronomía;6,76;41467;280344,6;0,62;3;5,97;0,59;6,03;6,23;6,4;6,55;6,68;6,8;6,91;7,01;7,1;7,19
AMC Networks;amcnclub_profiles_min;112597;Alimentación - Alimentación Sana;6,99;25345;177181,5;0,74;3;4,92;0,75;7,79;7,59;7,4;7,22;7,05;6,9;6,75;6,6;6,47;6,34
AMC Networks;amcnclub_profiles_min;112597;Alimentación - Sin Lactosa;6,27;5322;33370,7;0,93;3;4,08;0,95;5,76;4,86;4,27;3,85;3,54;3,3;3,11;2,95;2,82;2,71
AMC Networks;amcnclub_profiles_min;112597;Alimentación - Veganos;6,58;14063;92528;0,87;3;4,54;0,86;5,78;5,96;6,11;6,25;6,38;6,49;6,6;6,7;6,79;6,87
AMC Networks;amcnclub_profiles_min;112597;Alimentación - Productos para Diabéticos;7,81;1441;11251;0,98;3;5,54;0,99;8,41;8,05;7,73;7,44;7,17;6,92;6,7;6,49;6,3;6,12
AMC Networks;amcnclub_profiles_min;112597;Alimentación - Sin Gluten;6,79;5466;37107,7;0,94;3;5,13;0,95;6,87;6,18;5,64;5,21;4,87;4,57;4,33;4,12;3,94;3,78
AMC Networks;amcnclub_profiles_min;112597;Alimentación - Comida Picante;6,79;1898;12894,9;0,98;3;4,6;0,98;7,74;7,69;7,64;7,59;7,54;7,49;7,44;7,39;7,34;7,3
AMC Networks;amcnclub_profiles_min;112597;Alimentación - Sushi;7,28;6738;49039,9;0,94;3;5,51;0,93;6,6;6,84;7,04;7,21;7,35;7,47;7,58;7,67;7,75;7,82
AMC Networks;amcnclub_profiles_min;112597;Alimentación - Zumos Detox;7,71;1507;11612,6;0,98;3;3,78;0,98;6,21;4,98;4,25;3,77;3,43;3,17;2,98;2,82;2,69;2,58
AMC Networks;amcnclub_profiles_min;112597;Alimentación - Comida Rápida;5,76;27788;160065;0,73;3;5,39;0,72;4,9;5,02;5,14;5,25;5,35;5,45;5,54;5,63;5,71;5,79
AMC Networks;amcnclub_profiles_min;112597;Alimentación - Food content creators;6,27;15805;99134,4;0,86;3;6,08;0,84;5,62;5,89;6,13;6,33;6,5;6,66;6,79;6,91;7,02;7,12
AMC Networks;amcnclub_profiles_min;112597;Animales y Mascotas;6,66;69759;464529,1;0,38;3;5,82;0,38;5,68;5,69;5,71;5,72;5,74;5,75;5,76;5,78;5,79;5,8
AMC Networks;amcnclub_profiles_min;112597;Animales y Mascotas - Animales y Mascotas;6,83;66455;453770,3;0,42;3;6,02;0,05;7,6;8,1;8,42;8,65;8,81;8,94;9,04;9,12;9,18;9,24
AMC Networks;amcnclub_profiles_min;112597;Animales y Mascotas - Artículos y Comida para Mascotas;6,71;27911;187177,7;0,73;3;5,02;0,6;6,69;7,18;7,51;7,75;7,93;8,06;8,17;8,27;8,34;8,41
AMC Networks;amcnclub_profiles_min;112597;Arte y Cultura;7,32;105104;769148,9;0,07;3;6,44;0,07;6,37;6,38;6,39;6,39;6,4;6,41;6,42;6,43;6,43;6,44
AMC Networks;amcnclub_profiles_min;112597;Arte y Cultura - Arte y Cultura;7,36;97823;720084,7;0,14;3;6,66;0,07;7,05;7,21;7,35;7,48;7,59;7,69;7,78;7,86;7,93;8
AMC Networks;amcnclub_profiles_min;112597;Arte y Cultura - Bibliotecas y librerías;7,05;38032;268218,1;0,66;3;5,99;0,64;6,28;6,44;6,59;6,72;6,84;6,95;7,04;7,13;7,21;7,29
AMC Networks;amcnclub_profiles_min;112597;Arte y Cultura - Educación;7,1;86581;614989,5;0,22;3;6,06;0,18;6,44;6,56;6,68;6,79;6,88;6,98;7,06;7,14;7,21;7,27
AMC Networks;amcnclub_profiles_min;112597;Arte y Cultura - Idiomas;7,27;17499;127212,8;0,84;3;5,41;0,83;6,32;6,36;6,4;6,44;6,48;6,51;6,55;6,59;6,62;6,65
AMC Networks;amcnclub_profiles_min;112597;Arte y Cultura - Literatura;7,14;79720;569577,1;0,3;3;6,19;0,24;6,55;6,74;6,89;7,03;7,16;7,27;7,37;7,45;7,54;7,61
AMC Networks;amcnclub_profiles_min;112597;Arte y Cultura - Museos;7,49;23712;177610,7;0,8;3;6,06;0,77;6,75;6,95;7,11;7,25;7,37;7,48;7,57;7,65;7,73;7,79
AMC Networks;amcnclub_profiles_min;112597;Arte y Cultura - Universidades;7,76;8381;65007,7;0,92;3;5,45;0,92;8,66;8,57;8,48;8,39;8,3;8,22;8,13;8,05;7,97;7,9
AMC Networks;amcnclub_profiles_min;112597;Arte y Cultura - Erasmus;7,67;1236;9483,3;0,98;3;3,8;0,99;6,65;5,51;4,78;4,26;3,89;3,6;3,37;3,18;3,03;2,9
AMC Networks;amcnclub_profiles_min;112597;Arte y Cultura - Diseño;7,06;15271;107749,1;0,87;3;6,02;0,85;6,33;6,55;6,74;6,89;7,03;7,16;7,26;7,36;7,44;7,52
AMC Networks;amcnclub_profiles_min;112597;Arte y Cultura - Historia;7,08;12026;85167,2;0,91;3;6,11;0,89;6,53;6,85;7,1;7,29;7,45;7,59;7,7;7,8;7,88;7,95
AMC Networks;amcnclub_profiles_min;112597;Arte y Cultura - Knowledge content creators;7,27;5113;37185,5;0,95;3;6,1;0,95;6,44;6,58;6,71;6,82;6,93;7,02;7,11;7,19;7,26;7,33
AMC Networks;amcnclub_profiles_min;112597;Bancos, Finanzas y Economía;6,78;43167;292879,5;0,61;3;5,59;0,62;7,64;7,5;7,35;7,22;7,09;6,96;6,85;6,73;6,62;6,52
AMC Networks;amcnclub_profiles_min;112597;Bancos, Finanzas y Economía - Bancos;6,97;25895;180400,7;0,76;3;5,78;0,4;7,59;8,11;8,4;8,59;8,73;8,82;8,9;8,96;9,01;9,05
